Frame,Time,Rigid BodybugRotationX,Rigid BodybugRotationY,Rigid BodybugRotationZ,Rigid BodybugRotationW,Rigid BodybugPositionX,Rigid BodybugPositionY,Rigid BodybugPositionZ,Rigid BodybugError Per Marker,Rigid Body Markerbug_1PositionX,Rigid Body Markerbug_1PositionY,Rigid Body Markerbug_1PositionZ,Rigid Body Markerbug_1Marker Quality,Rigid Body Markerbug_2PositionX,Rigid Body Markerbug_2PositionY,Rigid Body Markerbug_2PositionZ,Rigid Body Markerbug_2Marker Quality,Rigid Body Markerbug_3PositionX,Rigid Body Markerbug_3PositionY,Rigid Body Markerbug_3PositionZ,Rigid Body Markerbug_3Marker Quality,Markerbug:Marker1PositionX,Markerbug:Marker1PositionY,Markerbug:Marker1PositionZ,Markerbug:Marker2PositionX,Markerbug:Marker2PositionY,Markerbug:Marker2PositionZ,Markerbug:Marker3PositionX,Markerbug:Marker3PositionY,Markerbug:Marker3PositionZ,MarkerUnlabeled:100PositionX,MarkerUnlabeled:100PositionY,MarkerUnlabeled:100PositionZ,MarkerUnlabeled:101PositionX,MarkerUnlabeled:101PositionY,MarkerUnlabeled:101PositionZ
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,bug,bug,bug,bug,bug,bug,bug,bug,bug_1,bug_1,bug_1,bug_1,bug_2,bug_2,bug_2,bug_2,bug_3,bug_3,bug_3,bug_3,bug:Marker1,bug:Marker1,bug:Marker1,bug:Marker2,bug:Marker2,bug:Marker2,bug:Marker3,bug:Marker3,bug:Marker3,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183333,0.012252,-0.66082,0.005498,-0.750424,0.079741,0.424163,0.142691,0.000107,0.085969,0.447233,0.161431,0.972229,0.066052,0.445496,0.126553,0.979534,0.087201,0.379759,0.140089,0.967659,0.085977,0.447295,0.161471,0.066039,0.445522,0.126534,0.0872,0.379679,0.140054,,,,,,
23,0.191667,0.012262,-0.660766,0.005531,-0.750471,0.079733,0.424162,0.142696,0.000105,0.08596,0.447233,0.161436,0.972229,0.066047,0.445495,0.126555,0.979534,0.087192,0.379759,0.140098,0.967659,0.085967,0.447297,0.161475,0.066035,0.44552,0.126539,0.08719,0.379678,0.140061,,,,,,
24,0.2,0.012286,-0.660814,0.005521,-0.750429,0.079726,0.424166,0.142698,0.000103,0.085954,0.447238,0.161436,0.973006,0.066037,0.445498,0.126558,0.980337,0.087187,0.379763,0.140099,0.969136,0.085962,0.447298,0.161476,0.066025,0.445523,0.126539,0.087186,0.379687,0.140064,,,,,,
25,0.208333,0.012314,-0.660787,0.005519,-0.750452,0.079716,0.42416,0.142703,0.000103,0.085941,0.447232,0.161441,0.973006,0.066027,0.445491,0.126562,0.980337,0.087178,0.379757,0.140107,0.969136,0.085948,0.447293,0.161479,0.066014,0.445516,0.126544,0.087178,0.379679,0.140072,,,,,,
26,0.216667,0.012282,-0.660778,0.005513,-0.750461,0.079707,0.424159,0.142706,0.000099,0.085933,0.44723,0.161445,0.974179,0.066019,0.445491,0.126566,0.981407,0.087168,0.379756,0.140108,0.969854,0.08594,0.44729,0.161482,0.066007,0.445516,0.126549,0.087168,0.379681,0.140072,,,,,,
27,0.225,0.012276,-0.660788,0.005516,-0.750452,0.079703,0.424158,0.142707,0.000103,0.08593,0.447229,0.161446,0.974179,0.066015,0.445491,0.126567,0.981407,0.087164,0.379755,0.140109,0.969854,0.085938,0.44729,0.161487,0.066002,0.445513,0.126548,0.087162,0.37968,0.140072,,,,,,
28,0.233333,0.012264,-0.660758,0.005503,-0.750479,0.079707,0.424156,0.142713,0.000103,0.085932,0.447227,0.161453,0.973068,0.06602,0.445489,0.126573,0.980601,0.087168,0.379753,0.140113,0.969263,0.08594,0.447288,0.161493,0.066008,0.445513,0.126554,0.087167,0.379677,0.140077,,,,,,
29,0.241667,0.012277,-0.660756,0.005521,-0.75048,0.07971,0.42416,0.142715,0.000104,0.085935,0.447231,0.161454,0.973068,0.066024,0.445493,0.126573,0.980601,0.087171,0.379757,0.140117,0.969263,0.085943,0.447293,0.161493,0.066012,0.445517,0.126555,0.08717,0.379679,0.140081,,,,,,
30,0.25,0.012263,-0.660733,0.005529,-0.750501,0.079712,0.424164,0.142714,0.000104,0.085937,0.447235,0.161454,0.972882,0.066028,0.445497,0.126572,0.980483,0.087172,0.37976,0.140116,0.968646,0.085945,0.447298,0.161493,0.066016,0.445521,0.126555,0.08717,0.379682,0.140079,,,,,,
31,0.258333,0.01228,-0.660715,0.005534,-0.750516,0.079709,0.424164,0.142718,0.000109,0.085932,0.447235,0.161457,0.972255,0.066025,0.445496,0.126574,0.979315,0.087169,0.37976,0.140122,0.967054,0.08594,0.447297,0.161497,0.066012,0.445524,0.126556,0.087169,0.379678,0.140087,,,,,,
